Epoch,Training Loss,Validation Loss,Learning Rate
1,381.223873077877,173.55800895085412,0.002
2,176.8279547312903,162.86584944952102,0.002
3,174.50119066995288,154.41472783164372,0.002
4,155.91709560818143,125.41355466085767,0.002
5,119.78199973938958,92.06201323251875,0.002
6,89.99952818855407,77.68968333895245,0.002
7,90.5465327671596,70.50373519413056,0.002
8,78.54271377079071,63.74613401624892,0.002
9,72.3187367878263,60.42496729653979,0.002
10,72.06460589454288,59.920078580341645,0.002
11,146.39519579448398,317.01341853066094,0.002
12,215.5230911497086,150.28983524867468,0.002
13,144.19261254204645,100.84064710707892,0.002
14,96.00491738697839,66.13816724504743,0.002
15,83.72826815408374,64.56463123503185,0.002
16,171.57795757717557,186.28246416364397,0.002
17,129.34897141229538,95.59634835379464,0.002
18,93.26549572414822,73.36416341388036,0.002
19,77.44222186860584,63.233645787314764,0.002
20,67.0259493873233,50.92280065445673,0.002
21,63.95597482106042,49.92291586739676,0.002
22,61.872830103314115,45.95954904102144,0.002
23,61.06546837942941,48.75632909744505,0.002
24,59.26307708498032,41.89295263139029,0.002
25,53.53101512363979,40.92632551041861,0.002
26,52.010706038702104,37.036878283061675,0.002
27,51.68409583682106,32.61287577190097,0.002
28,48.53145030188182,39.32470454866924,0.002
29,54.583846561492436,46.713458742414204,0.002
30,48.51053310575939,38.99893677423871,0.002
31,45.688006385924325,36.99225310673789,0.002
32,45.42589584229484,36.06431040688167,0.002
33,44.66039666675386,28.732179619017103,0.002
34,43.36671432616219,31.781893518235947,0.002
35,42.919056302025204,29.582104380168612,0.002
36,41.07895884438167,27.375082424708776,0.002
37,39.29766046433222,28.151148046766007,0.002
38,38.685260712154324,26.9542721945142,0.002
39,40.506519802032955,34.87315607827807,0.002
40,38.53728700062585,30.180584665328738,0.002
41,38.55060995192755,34.62456037127782,0.002
42,37.13112997630286,31.399077748495436,0.002
43,37.03051606435624,28.350960852607848,0.002
44,35.22220962766617,33.69190689874074,0.002
45,36.80331187778049,27.150587127322243,0.002
46,35.872361622159445,23.855255323743062,0.002
47,34.93121834406777,24.878272132268027,0.002
48,32.85517753116668,26.69855166995336,0.002
49,35.14453981793116,39.817416145688014,0.002
50,33.83577325608995,25.777689275287447,0.002
51,32.0004033285474,23.44515509832473,0.002
52,34.984577511984206,25.096203705621143,0.002
53,33.48147437686012,25.44558403983949,0.002
54,32.186526888892764,25.637860873388867,0.002
55,31.403695817977663,26.93539313664512,0.002
56,34.09802106827024,27.77749228099036,0.002
57,33.840940445188494,24.225957741813055,0.002
58,33.134363386366104,27.27608597467816,0.002
59,30.855594574459015,23.840598363724965,0.002
60,29.931059352935307,24.218529625544473,0.002
61,28.927453147040474,22.62359133220854,0.002
62,31.675306986248682,23.79199902973478,0.002
63,29.673649712214395,22.68009096478659,0.002
64,29.779712737552703,34.024116500975595,0.002
65,29.414191170344278,26.435295392596533,0.002
66,28.975473858061292,20.641521552252392,0.002
67,29.1409792824397,23.30471860794794,0.002
68,30.128190812610445,21.153950751773895,0.002
69,29.183698533073304,28.621674961513943,0.002
70,30.16849784245567,23.288109279814222,0.002
71,28.693538665771484,21.554654333326553,0.002
72,27.80729251437717,20.45981024182032,0.002
73,27.07992241874574,21.198133665417867,0.002
74,26.897696843222967,19.54164525440761,0.002
75,26.324461497957746,19.444623765491304,0.002
76,26.46896683223664,18.37427894652836,0.002
77,26.265059274340434,19.897445148891872,0.002
78,26.259870968167743,20.15691414333525,0.002
79,25.23703732566228,18.326451960064116,0.002
80,26.12139214409722,19.709321725936164,0.002
81,26.647626362149676,24.8289091473534,0.002
82,25.807996659051803,21.10140541621617,0.002
83,26.021424944438632,18.47544671618749,0.002
84,26.362860482836528,18.676355573866104,0.002
85,26.097361307295543,16.621614728655135,0.002
86,25.360974720546178,18.661806114136226,0.002
87,26.754891985938663,23.578135974823482,0.002
88,24.885981635441855,18.29677921628195,0.002
89,23.740445515466114,22.274792156522235,0.002
90,23.639482316516695,18.04148979792519,0.002
91,24.01323270040845,24.88100318303184,0.002
92,24.04463074699281,18.113000143141974,0.002
93,24.709350949242,22.26030224845523,0.002
94,23.891708010718936,17.323354236663334,0.002
95,24.10876564752488,17.00982506313021,0.002
96,23.724128390115403,17.44893583418831,0.002
97,23.670642413790265,19.047302374764094,0.002
98,24.12087619115436,26.573535086616637,0.002
99,24.632917313348678,17.03051767651997,0.002
100,24.125654659573993,17.369892256600515,0.002
101,23.454542432512557,20.59629295742701,0.0017
102,22.314331584506565,17.18267735980806,0.0017
103,22.443612477136035,17.570659206027077,0.0017
104,22.46112873440697,19.86865883024912,0.0017
105,22.14853466881646,17.27856587606763,0.0017
106,22.240861438569567,18.855049087887718,0.0017
107,21.74071590484135,17.12031867012145,0.0017
108,21.827855200994584,18.234486171177455,0.0017
109,21.778287872435556,16.2569706629193,0.0017
110,21.511864949786474,15.721604597000848,0.0017
111,21.621030020335365,17.782103920739793,0.0017
112,21.68357425265842,14.626157582752288,0.0017
113,22.177606688605415,15.468586808159237,0.0017
114,21.56231124817379,16.044002510252454,0.0017
115,21.175405260116335,15.558277281503829,0.0017
116,20.847800148857964,17.97968253635225,0.0017
117,20.339950712900315,14.379907123626225,0.0017
118,20.524887978084504,14.89803859922621,0.0017
119,20.74525758955214,17.64058418122549,0.0017
120,20.436130659920828,14.925496547941178,0.0017
121,21.26452383919368,16.814020985648746,0.0017
122,20.55836344522143,17.923059160747226,0.0017
123,19.814204034351167,16.716571255335733,0.0017
124,20.04360041542659,17.521002406165714,0.0017
125,19.956008260212247,16.39340228883047,0.0017
126,19.913126612466478,15.691480152190678,0.0017
127,19.777953813946436,17.36968255421472,0.0017
128,20.615922609965008,16.449751233297683,0.0017
129,20.15737694028824,15.322248814597963,0.0017
130,20.041509098476833,14.421924500238328,0.0017
131,19.78317728496733,14.977555365789504,0.0017
132,20.00232027447413,16.033221994127548,0.0017
133,19.974187805539085,15.482084622458807,0.0014449999999999999
134,19.351498573545424,16.761554392557297,0.0014449999999999999
135,18.364097383287216,15.145764812590583,0.0014449999999999999
136,18.450243601723322,17.070666827852765,0.0014449999999999999
137,19.012105790395584,15.621646033393013,0.0014449999999999999
138,19.160335722423735,16.301418312012203,0.0014449999999999999
139,19.152219590686617,15.805259030962747,0.0014449999999999999
140,18.619432055760942,14.10744521731422,0.0014449999999999999
141,18.249550229027157,14.322695724547856,0.0014449999999999999
142,18.77104577564058,18.23147003234379,0.0014449999999999999
143,19.316800268869553,14.933966197664775,0.0014449999999999999
144,18.4849952061971,15.475391766381643,0.0014449999999999999
145,18.362137370639378,13.717829757266575,0.0014449999999999999
